Parameter Name,Parameter Usage,Parameter CAS Number,Parameter UOM Type,Parameter Synonym,Parameter Synonym Type
Arsenobetaine,Lab,64436-13-1     ,SUBST,,
Arsine,Lab,7784-42-1      ,SUBST,,
Asbestos,Lab,1332-21-4      ,SUBST,"Asbestos, (fibrous)",Synonym
"Asbestos, actinolite",Lab,77536-66-4     ,SUBST,,
"Asbestos, riebeckite",Lab,132207-35-3    ,SUBST,,
Ash Content,Lab,,SUBST,,
Aspon,Lab,3244-90-4      ,SUBST,Tetrapropyl dithiopyrophosphate,Synonym
Asulam,Lab,3337-71-1      ,SUBST,"Carbamic acid, [(4-aminophenyl)sulfonyl]-, methyl ester",Synonym
Atenolol,Lab,29122-68-7     ,SUBST,,
Atorvastatin,Lab,134523-00-5    ,SUBST,,
Atraton,Lab,1610-17-9      ,SUBST,,
Atrazine,Lab,1912-24-9      ,SUBST,,
Atrazine Desethyl,Lab,,SUBST,,
Avermectin B1a,Lab,65195-55-3     ,SUBST,"Avermectin A1a, 5-O-demethyl-",Synonym
Azelaic Acid,Lab,123-99-9       ,SUBST,,
Azinphos Ethyl,Lab,2642-71-9      ,SUBST,Azinphosethyl,Synonym
Azinphos Ethyl,Lab,2642-71-9      ,SUBST,"Phosphorodithioic acid, O,O-diethyl S-[[4-oxo-1,2,3-benzotriazin-3(4H)-yl]methyl] ester",Synonym
Azinphos Ethyl,Lab,2642-71-9      ,SUBST,Ethyl guthion,Synonym
Azinphos Ethyl,Lab,2642-71-9      ,SUBST,Azinphos-ethyl,Synonym
Azinphos-methyl,Lab,86-50-0        ,SUBST,Guthion,Synonym
Azinphos-methyl,Lab,86-50-0        ,SUBST,"Phosphorodithioic acid, O,O-dimethyl S-[(4-oxo-1,2,3-benzotriazin-3(4H)-yl)methyl] ester",Synonym
Azithromycin,Lab,83905-01-5     ,SUBST,,
Azobenzene,Lab,103-33-3       ,SUBST,"Diazene, diphenyl-",Synonym
Azoxystrobin,Lab,131860-33-8    ,SUBST,,
"Azulene, 1,2,3,4,5,6,7,8(or 1,2,3,5,6,7,8,8a)-octahydro-1,4-dimethyl-7-(1-methylethenyl)-",Lab,73003-42-6     ,SUBST,,
"Azulene, 1,2,3,4,5,6,7,8-octahydro-1,4-dimethyl-7-(1-methylethenyl)-, [1S-(1 alpha,4 alpha,7 alpha)]-",Lab,12/1/3691,SUBST,,
"Azulene, 1,2,3,5,6,7,8,8a-octahydro-1,4-dimethyl-7",Lab,3691-11-0      ,SUBST,,
"Azulene, 1,4-Dimethyl-7-(1-Methylethyl)-",Lab,489-84-9       ,SUBST,,
"Azulene, 7-Ethyl-1,4-Dimethyl-",Lab,529-05-5       ,SUBST,,
b-Estradiol-3-benzoate,Lab,50-50-0        ,SUBST,,
"Bacteria, Hydrocarbon Degrading",Lab,,TAX,,
Barban,Lab,101-27-9       ,SUBST,Barbane,Synonym
Barban,Lab,101-27-9       ,SUBST,"Carbamic acid, (3-chlorophenyl)-, 4-chl*",Synonym
Barium,Lab,7440-39-3      ,SUBST,,
Barometric pressure,Field,,MISC,,
Beam Attenuation,Field,,MISC,,
BEAM_C@670 nm,Field,,MISC,,
"Behenic Acid, Ethyl Ester",Lab,112-71-5       ,SUBST,,
Bendiocarb,Lab,22781-23-3     ,SUBST,"1,3-Benzodioxol-4-ol, 2,2-dimethyl-, methylcarbamate",Synonym
Benfluralin,Lab,1861-40-1      ,SUBST,Benefin,Synonym
Benfluralin,Lab,1861-40-1      ,SUBST,Benetin,Synonym
Benfluralin,Lab,1861-40-1      ,SUBST,"Benzenamine, N-butyl-N-ethyl-2,6-dinitro-4-(trifluoromethyl)-",Synonym
Benomyl (Benlate),Lab,17804-35-2     ,SUBST,,
Bensulfuron-methyl,Lab,83055-99-6     ,SUBST,Londax,Trade Name
Bensulide,Lab,741-58-2       ,SUBST,,
Bentazon,Lab,25057-89-0     ,SUBST,Bentazone,Synonym
Bentazon,Lab,25057-89-0     ,SUBST,"1H-2,1,3-Benzothiadiazin-4(3H)-one, 3-(1-methylethyl)-, 2,2-dioxide",Synonym
Benz[a]anthracene,Lab,56-55-3        ,SUBST,Benzo[a]anthracene,Synonym
Benz[a]anthracene,Lab,56-55-3        ,SUBST,Benzo(a)anthracene,Synonym
Benz[a]anthracene,Lab,56-55-3        ,SUBST,"1,2-Benzanthracene",Synonym
Benz[a]anthracene mixture with chrysene,Lab,,SUBST,Benz(a)Anthracene/Chrysene,Synonym
"Benz[a]Anthracene, 1-methyl-",Lab,2498-77-3      ,SUBST,,
"Benz[a]anthracene, 8-methyl-",Lab,2381-31-9      ,SUBST,,
"Benz[a]Anthracene, 9-methyl-",Lab,2381-16-0      ,SUBST,,
Benzaldehyde,Lab,100-52-7,SUBST,,
"Benzaldehyde, 2,4-dihydroxy-6-methyl-",,487-69-4       ,SUBST,,
"Benzaldehyde, 2-methyl-",Lab,529-20-4       ,SUBST,,
"Benzaldehyde, 3-methyl-",Lab,620-23-5,SUBST,3-methyl-benzaldehyde,Synonym
"Benzaldehyde, 4-hydroxy-",Lab,123-08-0       ,SUBST,,
"Benzamide, 2,6-dichloro-",Lab,2008-58-4      ,SUBST,,
"Benzamide, N-1-isoquinolinyl-",Lab,33357-47-0     ,SUBST,,
Benzanthrone,Lab,82-05-3        ,SUBST,7H-Benz[de]anthracen-7-one,Synonym
"Benzenamine, 2,3-dimethyl",Lab,87-59-2        ,SUBST,,
"Benzenamine, 2,4-dimethyl",Lab,95-68-1        ,SUBST,,
"Benzenamine, 2,5-dimethyl",Lab,95-78-3        ,SUBST,,
"Benzenamine, 2,6-dimethyl-",Lab,87-62-7        ,SUBST,,
"Benzenamine, 3,4-dimethyl",Lab,95-64-7        ,SUBST,,
"Benzenamine, 3,5-dimethyl",Lab,108-69-0       ,SUBST,,
"Benzenamine, 3-(2-phenyleth",Lab,14064-82-5     ,SUBST,,
"Benzenamine, 3-methoxy-2,4,6-trimethyl-",Lab,34874-88-9     ,SUBST,,
"Benzenamine, 4,4'-sulfonylbis-",Lab,80-08-0        ,SUBST,Dapsone,Trade Name
"Benzenamine, 4,4'-sulfonylbis-",Lab,80-08-0        ,SUBST,4-Aminodiphenylsulphone,Synonym
"Benzenamine, 4,4'-sulfonylbis-",Lab,80-08-0        ,SUBST,"4,4’-diaminodiphenylsulfone (DDS)",Synonym
"Benzenamine, N,N-dimethyl-4-(phenyazo)-",Lab,60-11-7        ,SUBST,,
Benzene,Lab,71-43-2        ,SUBST,,
"Benzene, (1-ethyl-2-propenyl)-",Lab,19947-22-9     ,SUBST,,
"Benzene, (1-methyl-1-propen",Lab,768-00-3       ,SUBST,,
"Benzene, (1-methyl-2-cyclopropen-1-yl)-",Lab,65051-83-4     ,SUBST,,
"Benzene, (1-methylbutyl)",Lab,2719-52-0      ,SUBST,,
"Benzene, (2-methyl-1-propen",Lab,768-49-0       ,SUBST,,
"Benzene, (2-Methyl-2-Propenyl)-",Lab,3290-53-7      ,SUBST,,
"Benzene, (3-Methyl-2-Butenyl)-",Lab,4489-84-3      ,SUBST,,
"Benzene, 1,1'-(1-ethenyl-1,",Lab,61141-97-7     ,SUBST,,
"Benzene, 1,1'-(1-methylethylidene)bis-",Lab,778-22-3       ,SUBST,,
"Benzene, 1,1'-methylenebis[4-methyl-",Lab,4957-14-6      ,SUBST,,
"Benzene, 1,1'-Oxybis-",Lab,101-84-8       ,SUBST,Diphenyl ether,Synonym
"Benzene, 1,1'-Oxybis-",Lab,101-84-8       ,SUBST,Phenyl ether,Synonym
"Benzene, 1,1'-oxybis[4-bromo-",Lab,2050-47-7      ,SUBST,"p,p'-Dibromodiphenyl ether",Synonym
"Benzene, 1,1'-oxybis[4-bromo-",Lab,2050-47-7      ,SUBST,"Benzene, 1,1'-oxybis-, dibromo (4,4'-)",Synonym
"Benzene, 1,1'-Sulfonylbis-",Lab,127-63-9       ,SUBST,,
"Benzene, 1,1'-thiobis-, tetrachloro deriv.",Lab,55741-09-8     ,SUBST,,
"Benzene, 1,2,3,4-Tetramethyl-",Lab,488-23-3       ,SUBST,,
"Benzene, 1,2,3,5-tetramethyl-",Lab,527-53-7       ,SUBST,,
"Benzene, 1,2,3-Trichloro-4-Methoxy-",Lab,54135-80-7     ,SUBST,,
"Benzene, 1,2,3-Trimethyl-",Lab,526-73-8       ,SUBST,,
"Benzene, 1,2,4,5-Tetramethyl-",Lab,95-93-2        ,SUBST,Durene,Trade Name
"Benzene, 1,2-Diethyl-",Lab,135-01-3       ,SUBST,,
"Benzene, 1,3,5-Trichloro-2-Methoxy-",Lab,87-40-1        ,SUBST,,
"Benzene, 1,3-Dichloro-2-Methoxy-",Lab,1984-65-2      ,SUBST,,
"Benzene, 1,4-dibromo-2-methyl-",Lab,615-59-8       ,SUBST,,
"Benzene, 1,4-Diethyl-",Lab,105-05-5       ,SUBST,,
"Benzene, 1,4-Dinitro-",Lab,100-25-4       ,SUBST,,
"Benzene, 1-(1,1-Dimethylethyl)-4-Methyl-",Lab,98-51-1        ,SUBST,p-tert-Butyltoluene,Synonym
"Benzene, 1-(1,1-Dimethylethyl)-4-Methyl-",Lab,98-51-1        ,SUBST,4-t-Butyltoluene,Synonym
"Benzene, 1-bromo-4-fluoro-",Lab,460-00-4       ,SUBST,1-Bromo-4-flourobenzene,Synonym
"Benzene, 1-bromo-4-fluoro-",Lab,460-00-4       ,SUBST,p-Bromofluorobenzene,Synonym
"Benzene, 1-bromo-4-fluoro-",Lab,460-00-4       ,SUBST,4-Bromofluorobenzene,Synonym
"Benzene, 1-Butynyl-",Lab,622-76-4       ,SUBST,,
"Benzene, 1-Ethenyl-2-Methyl-",Lab,611-15-4       ,SUBST,,
"Benzene, 1-Ethenyl-3-Ethyl-",Lab,7525-62-4      ,SUBST,,
"Benzene, 1-ethenyl-3-methyl",Lab,100-80-1       ,SUBST,,
"Benzene, 1-Ethenyl-4-Ethyl-",Lab,7/7/3454,SUBST,,
"Benzene, 1-ethenyl-4-methyl-",Lab,622-97-9       ,SUBST,,
"Benzene, 1-Ethyl-2,3-Dimethyl-",Lab,933-98-2       ,SUBST,,
"Benzene, 1-Ethyl-2,4-Dimethyl-",Lab,874-41-9       ,SUBST,,
"Benzene, 1-Ethyl-2-Methyl-",Lab,611-14-3       ,SUBST,,
"Benzene, 1-Ethyl-3,5-Dimethyl-",Lab,934-74-7       ,SUBST,,
"Benzene, 1-Ethyl-3-Methyl-",Lab,620-14-4       ,SUBST,,
"Benzene, 1-ethyl-4-methoxy",Lab,1515-95-3      ,SUBST,,
"Benzene, 1-methyl-2-(1-methylethyl)-",Lab,527-84-4       ,SUBST,,
"Benzene, 1-Methyl-2-(2-Propenyl)-",Lab,1587-04-8      ,SUBST,,
"Benzene, 1-Methyl-2-Propyl-",Lab,1074-17-5      ,SUBST,,
"Benzene, 1-Methyl-3-(1-Methylethyl)-",Lab,535-77-3       ,SUBST,,
"Benzene, 1-methyl-3-[(4-methylphenyl)methyl]-",Lab,21895-16-9     ,SUBST,,
"Benzene, 1-Methyl-3-Propyl-",Lab,1074-43-7      ,SUBST,,
"Benzene, 1-methyl-4-(2-propenyl)-",Lab,3333-13-9      ,SUBST,,
"Benzene, 1-Methyl-4-Propyl-",Lab,1074-55-1      ,SUBST,,
"Benzene, 1-propenyl-, (E)-",Lab,873-66-5       ,SUBST,,
"Benzene, 2,4-Dichloro-1-Methoxy-",Lab,553-82-2       ,SUBST,,
"Benzene, 2-ethenyl-1,3-dimethyl-",Lab,2039-90-9      ,SUBST,,
"Benzene, 2-Ethenyl-1,4-Dimethyl-",Lab,2039-89-6      ,SUBST,,
"Benzene, 2-Ethyl-1,3-Dimethyl-",Lab,4/4/2870,SUBST,,
"Benzene, 2-Ethyl-1,4-Dimethyl-",Lab,1758-88-9      ,SUBST,,
"Benzene, 4-(2-butenyl)-1,2-dimethyl-, (E",Lab,54340-86-2     ,SUBST,,
"Benzene, 4-Ethyl-1,2-Dimethyl-",Lab,934-80-5       ,SUBST,,
"Benzene, chloromethylphenoxy-",Lab,72101-26-9     ,SUBST,,
"Benzene, cyclopropyl-",Lab,873-49-4       ,SUBST,,
"Benzene, Dichloro-",Lab,25321-22-6     ,SUBST,,
"Benzene, Ethyl(1-Methylethenyl)-",Lab,32841-00-2     ,SUBST,,
"Benzene, Methyl(1-Methylethenyl)-",Lab,26444-18-8     ,SUBST,,
"Benzene, methyl(1-methylethyl)-",Lab,25155-15-1     ,SUBST,Isopropyltoluene,Synonym
"Benzene, methyl(1-methylethyl)-",Lab,25155-15-1     ,SUBST,Methylpropylbenzene,Synonym
"Benzene, methyl(1-methylethyl)-",Lab,25155-15-1     ,SUBST,Cymene,Synonym
"Benzene, Propyl-",Lab,12/26/2001,SUBST,,
"Benzene, Trinitro-",Lab,99-35-4        ,SUBST,,
Benzeneacetaldehyde,Lab,122-78-1       ,SUBST,,
"Benzeneacetic acid, 4-(1,1-dimethylethyl)-, methyl",,3549-23-3      ,SUBST,,
Benzeneacetonitrile,Lab,140-29-4       ,SUBST,,
"Benzenebutanoic acid, 2,5-d",Lab,1453-06-1      ,SUBST,,
Benzenepropanoic Acid,Lab,501-52-0       ,SUBST,,
"Benzenepropanoic acid, .beta.,.beta.-dimethyl-",Lab,1010-48-6      ,SUBST,,
"Benzenepropanoic acid, .beta.,.beta.-dimethyl-, met",Lab,25080-84-6     ,SUBST,,
"Benzenesulfonamide, N,N,4-Trimethyl-",Lab,599-69-9       ,SUBST,,
"Benzenesulfonamide, N,N-Dimethyl-",Lab,1208-20-4      ,SUBST,,
Benzidine,Lab,92-87-5        ,SUBST,,
"Benzidine, 3,3'-Dimethoxy-",Lab,119-90-4       ,SUBST,,
"Benzidine, 3,3-Dimethyl-",Lab,119-93-7       ,SUBST,,
Benzo(a)anthracene-D12,Lab,,SUBST,,
Benzo(a)pyrene,Lab,50-32-8        ,SUBST,Benzo[a]pyrene,Synonym
Benzo(a)pyrene-D12,Lab,63466-71-7     ,SUBST,,
Benzo(b)fluoranthene,Lab,205-99-2       ,SUBST,Benzo[b]fluoranthene,Synonym
Benzo(b)fluoranthene,Lab,205-99-2       ,SUBST,Benz(e)acephenanthrylene,Synonym
Benzo(b)fluoranthene-D12,Lab,,SUBST,,
"Benzo(b,k)fluoranthene",Lab,,SUBST,Benzo[b]fluoranthene mixt. with benzo[k]fluoranthene,Synonym
Benzo(e)pyrene-d12,Lab,,SUBST,,
"Benzo(g,h,i)perylene-D12",Lab,,SUBST,,
Benzo(ghi)perylene,Lab,191-24-2       ,SUBST,"Benzo(g,h,i)perylene",Synonym
Benzo(ghi)perylene,Lab,191-24-2       ,SUBST,"Benzo[g,h,i]perylene",Synonym
Benzo(j)fluoranthene,Lab,205-82-3       ,SUBST,,
"Benzo(j,k)fluoranthene",Lab,,SUBST,Benzo[j]fluoranthene mixt. with benzo[k]fluoranthene,Synonym
Benzo(k)anthracene,Lab,,SUBST,,
Benzo(k)fluoranthene,Lab,207-08-9       ,SUBST,Benzo[k]fluoranthene,Synonym
Benzo(k)fluoranthene-D12,Lab,,SUBST,,
Benzo[a]fluoranthene,Lab,203-33-8       ,SUBST,,
Benzo[a]fluorenone,Lab,479-79-8       ,SUBST,11H-Benzo[a]fluoren-11-one,Synonym
Benzo[b]chrysene,Lab,214-17-5       ,SUBST,,
"Benzo[b]naphtho[2,1-d]thiophene",Lab,239-35-0       ,SUBST,,
"Benzo[b]thiophene, 5-Methyl-",Lab,14315-14-1     ,SUBST,,
Benzo[b]triphenylene,Lab,215-58-7       ,SUBST,"1,2,3,4-Dibenzanthracene",Synonym
Benzo[b]triphenylene,Lab,215-58-7       ,SUBST,"Dibenzo(a,c)anthracene",Synonym
"Benzo[c]phenanthrene-[1,4]quinone",Lab,109699-80-1    ,SUBST,,
Benzo[c]thiophene,Lab,270-82-6       ,SUBST,,
Benzo[cd]pyrenone,Lab,3074-00-8      ,SUBST,,
Benzo[e]pyrene,Lab,192-97-2       ,SUBST,,
Benzo[ghi]fluoranthene,Lab,203-12-3       ,SUBST,,
Benzofluoranthene,Lab,56832-73-6     ,SUBST,"Benzofluoranthene, Total (of unspecified isomers)",Synonym
"Benzofluoranthenes, Total (b+k+j)",Field and Lab,,SUBST,Total Benzofluoranthenes (b+k+j),Synonym
Benzofuran,Lab,271-89-6       ,SUBST,,
"Benzofuran, 2,3-dihydro",Lab,496-16-2       ,SUBST,,
Benzoic Acid,Lab,65-85-0        ,SUBST,,
"Benzoic acid, 2,3,6-trichloro-",Lab,50-31-7        ,SUBST,Trysben,Trade Name
"Benzoic acid, 2,3,6-trichloro-",Lab,50-31-7        ,SUBST,"2,3,6-Trichlorobenzoic acid",Synonym
"Benzoic Acid, 2,4,5-Trimethyl-",Lab,528-90-5       ,SUBST,,
"Benzoic Acid, 2,4-Dihydroxy-",Lab,4707-47-5      ,SUBST,,
"Benzoic acid, 2,5-dimethyl",Lab,610-72-0       ,SUBST,,
"Benzoic acid, 2-(acetyloxy)-",Lab,50-78-2        ,SUBST,Acetylsalicylic acid,Synonym
"Benzoic acid, 2-(acetyloxy)-",Lab,50-78-2        ,SUBST,Aspirin,Trade Name
"Benzoic Acid, 2-Hydroxy-",Lab,69-72-7        ,SUBST,Salicylic acid,Synonym
"Benzoic acid, 2-hydroxy-, phenylmethyl ester",Lab,118-58-1       ,SUBST,"Salicylic acid, benzyl ester",Synonym
"Benzoic acid, 2-hydroxy-, phenylmethyl ester",Lab,118-58-1       ,SUBST,Benzyl salicylate,Synonym
"Benzoic Acid, 2-Hydroxy-,Met",Lab,119-36-8       ,SUBST,,
"Benzoic acid, 2-phenoxy-",Lab,2243-42-7      ,SUBST,,
"Benzoic acid, 2-phenylethyl ester",Lab,94-47-3        ,SUBST,Phenethyl benzoate,Synonym
"Benzoic acid, 3,4-dimethoxy-, 4-[ethyl[2-(4-methoxy",Lab,6/7/3625,SUBST,,
"Benzoic Acid, 4-(1-Methylethyl)-",Lab,536-66-3       ,SUBST,,
"Benzoic acid, 4-(dimethylamino)-, 2-ethylhexyl ester",Lab,21245-02-3     ,SUBST,PADIMATE-O,Synonym
"Benzoic Acid, Phenylmethyl Ester",Lab,120-51-4       ,SUBST,"Benzoic acid, benzyl ester",Synonym
"Benzoic Acid, Phenylmethyl Ester",Lab,120-51-4       ,SUBST,Benzyl benzoate,Synonym
"Benzonitrile, m-phenethyl-",Lab,34176-91-5     ,SUBST,,
Benzophenone,Lab,119-61-9       ,SUBST,Benzoyl benzene,Synonym
Benzophenone,Lab,119-61-9       ,SUBST,"Methanone, diphenyl-",Synonym
Benzophenone,Lab,119-61-9       ,SUBST,Diphenyl ketone,Synonym
Benzothiazole,Lab,95-16-9        ,SUBST,,
Benzothiophene,Lab,11095-43-5     ,SUBST,,
Benzotrifluoride,Lab,98-08-8        ,SUBST,"Benzene, (trifluoromethyl)-",Synonym
Benzotrifluoride,Lab,98-08-8        ,SUBST,"1,1,1-Trifluorotoluene",Synonym
Benzotrifluoride,Lab,98-08-8        ,SUBST,"alpha,alpha,alpha-Trifluorotoluene",Synonym
"Benzoxazole, 2-methyl-",Lab,95-21-6        ,SUBST,2-Methylbenzoxazole,Synonym
Benzoylecgonine,Lab,519-09-5       ,SUBST,,
Benztropine,Lab,86-13-5        ,SUBST,,
Benzyl Acetate,Lab,140-11-4       ,SUBST,"Acetic acid, phenylmethyl ester",Synonym
Benzyl Alcohol,Lab,100-51-6       ,SUBST,,
Benzyl chloride,Lab,100-44-7,SUBST,"Toluene, .alpha.-chloro-",Synonym
Benzyl chloride,Lab,100-44-7,SUBST,"Toluene, alpha-chloro-",Synonym
Benzyl Propionate,Lab,122-63-4       ,SUBST,"Propanoic acid, phenylmethyl ester",Synonym
Beryllium,Lab,7440-41-7      ,SUBST,,
Beta Particle,Lab,12587-47-2     ,RAD,Gross Beta,Synonym
Beta Particle,Lab,12587-47-2     ,RAD,Beta Radiation,Synonym
Beta Particle,Lab,12587-47-2     ,RAD,Gross Beta Particle Activity,Synonym
beta-BHC,Lab,319-85-7       ,SUBST,"Cyclohexane, 1,2,3,4,5,6-hexachloro-, (1.alpha.,2.beta.,3.alpha.,4.beta.,5.alpha.,6.beta.)-",Synonym
beta-BHC,Lab,319-85-7       ,SUBST,beta-Hexachlorocyclohexane,Synonym
beta-Cypermethrin,Lab,65731-84-2     ,SUBST,,
Beta-Pinene,Lab,127-91-3       ,SUBST,,
Beta-Sitosterol,Lab,83-46-5        ,SUBST,"Stigmast-5-en-3-ol, (3.beta.)-",Synonym
Beta-Stigmastanol,Lab,19466-47-8     ,SUBST,,
Betamethasone,Lab,378-44-9       ,SUBST,,
Bicyclo(3.2.1)oct-2-ene,Lab,823-02-9       ,SUBST,,
"Bicyclo[2.2.1]hept-5-ene-2,3-dicarboxylic acid, 1,4",Lab,115-28-6       ,SUBST,,
"Bicyclo[3.1.0]hexan-3-one, 4-methyl-1-(1-methylethyl)-",Lab,471-15-8       ,SUBST,,
"Bicyclo[3.1.0]hexan-3-one, 4-Methyl-1-(1-Methylethyl)-",Lab,1125-12-8      ,SUBST,,
Bicyclo[3.1.0]hexane,Lab,285-58-5       ,SUBST,,
"Bicyclo[3.1.1]heptan-2-one, 6,6-dimethyl",Lab,38651-65-9     ,SUBST,,
"Bicyclo[3.1.1]heptane, 2,6,6-trimethyl-",Lab,473-55-2       ,SUBST,,
"Bicyclo[4.2.0]Octa-1,3,5-Tri",Lab,694-87-1       ,SUBST,,
Bifenazate,Lab,149877-41-8,SUBST,,
Bifenox,Lab,42576-02-3     ,SUBST,"Benzoic acid, 5-(2,4-dichlorophenoxy)-2-nitro-, methyl ester",Synonym
Bifenthrin,Lab,82657-04-3     ,SUBST,Biphenthrin,Synonym
Biochemical Oxygen Demand,Lab,,SUBST,BOD,Synonym
Biochemical Oxygen Demand,Lab,,SUBST,Biological Oxygen Demand,Synonym
Biphenyl-D10,Lab,1486-01-7      ,SUBST,,
Biphenylene,Lab,259-79-0       ,SUBST,,
Bis(2-chloro-1-methylethyl) ether,Lab,108-60-1       ,SUBST,"Propane, 2,2'-oxybis[1-chloro-",Synonym
Bis(2-Chloroethoxy)Methane,Lab,111-91-1       ,SUBST,"Ethane, 1,1'-[methylenebis(oxy)]bis[2-chloro-",Synonym
Bis(2-Chloroethyl)Ether,Lab,111-44-4       ,SUBST,,
Bis(2-chloroisopropyl) ether,Lab,39638-32-9     ,SUBST,Bis(2-chloroisopropyl)ether,Synonym
Bis(2-chloroisopropyl) ether,Lab,39638-32-9     ,SUBST,"Propane, 2,2'-oxybis[2-chloro-",Synonym
Bis(2-Ethylhexyl) Phthalate,Lab,117-81-7       ,SUBST,Bis(2-ethylhexyl)phthalate,Synonym
Bis(2-Ethylhexyl) Phthalate,Lab,117-81-7       ,SUBST,Di(2-ethylhexyl) phthalate,Synonym
Bis(2-Ethylhexyl) Phthalate,Lab,117-81-7       ,SUBST,BEHP,Synonym
Bis(2-Ethylhexyl) Phthalate,Lab,117-81-7       ,SUBST,"1,2-Benzenedicarboxylic acid, bis(2-ethy",Synonym
Bismuth,Lab,7440-69-9      ,SUBST,,
Bisphenol A,Lab,80-05-7        ,SUBST,"Phenol, 4,4'-(1-methylethylidene)bis-",Synonym
Bisphenol A,Lab,80-05-7        ,SUBST,"4,4'-Isopropylidenediphenol",Synonym
Black Carbon,Lab,,SUBST,Soot carbon,Synonym
Bolstar (Sulprofos),Lab,35400-43-2     ,SUBST,,
Borneol,Lab,507-70-0       ,SUBST,,
Boron,Lab,7440-42-8      ,SUBST,,
Boscalid,Lab,188425-85-6    ,SUBST,,
Bromacil,Lab,314-40-9       ,SUBST,,
Bromate,Lab,15541-45-4     ,SUBST,,
Bromide,Lab,24959-67-9     ,SUBST,,
Bromine,Lab,7726-95-6      ,SUBST,,
Bromobenzene,Lab,108-86-1       ,SUBST,,
Bromochloromethane,Lab,74-97-5        ,SUBST,Halon 1011,Synonym
Bromoethane,Lab,74-96-4        ,SUBST,Ethyl bromide,Synonym
Bromoform,Lab,75-25-2        ,SUBST,"Methane, tribromo-",Synonym
Bromoform,Lab,75-25-2        ,SUBST,Tribromomethane,Synonym
Bromomethane,Lab,74-83-9        ,SUBST,Methyl bromide,Synonym
Bromophos,Lab,2104-96-3      ,SUBST,,
Bromopropylate,Lab,18181-80-1     ,SUBST,,
Bromoxynil,Lab,1689-84-5      ,SUBST,,
Butachlor,Lab,23184-66-9     ,SUBST,,
Butanal,Lab,123-72-8       ,SUBST,,
"Butanamide, N-(4-chloro-2,5-dimethoxyphenyl)-3-oxo-",Lab,4433-79-8      ,SUBST,,
Butane (8ci9ci),Lab,106-97-8       ,SUBST,,
"Butane, 2,2-dimethyl-",Lab,75-83-2        ,SUBST,,
"Butane, 2,3-Dimethyl-",Lab,79-29-8        ,SUBST,,
"Butane, 2-Methyl",Lab,78-78-4        ,SUBST,,
"Butanoic Acid, 2-Methyl-",Lab,116-53-0       ,SUBST,,
"Butanoic Acid, 3-Methyl-",Lab,503-74-2       ,SUBST,,
"Butanoic acid, sodium salt",Lab,156-54-7       ,SUBST,"Butyric Acid, sodium salt",Synonym
"Butenal, 2-Methyl-2-",Lab,1115-11-3      ,SUBST,,
Butyl Acetate,Lab,123-86-4,SUBST,n-Butyl acetate,Synonym
Butyl Acetate,Lab,123-86-4,SUBST,"Acetic acid, butyl ester",Synonym
Butyl benzyl phthalate,Lab,85-68-7        ,SUBST,Butylbenzyl phthalate,Synonym
Butyl benzyl phthalate,Lab,85-68-7        ,SUBST,"Phthalic acid, benzyl butyl ester",Synonym
Butyl benzyl phthalate,Lab,85-68-7        ,SUBST,"1,2-Benzenedicarboxylic acid, butyl phenylmethyl ester",Synonym
Butyl mercaptan,Lab,109-79-5       ,SUBST,n-Butyl mercaptan,Synonym
Butyl mercaptan,Lab,109-79-5       ,SUBST,1-Butanethiol,Synonym
Butylate,Lab,2008-41-5      ,SUBST,,
Butylbenzene,Lab,68411-44-9     ,SUBST,"Benzene, butyl-, branched and linear",Synonym
Butyldiphenylphosphate,,2752-95-6      ,SUBST,,
Butylparaben,Lab,94-26-8        ,SUBST,"Benzoic acid, 4-hydroxy-, butyl ester",Synonym
Butylparaben,Lab,94-26-8        ,SUBST,Butyl paraben,Synonym
Butyltin,Lab,78763-54-9     ,SUBST,"Tin(3+), butyl-, ion",Synonym
Butyltin,Lab,78763-54-9     ,SUBST,"Stannanetriylium, butyl-",Synonym
"Butyltins, Total",Lab,,SUBST,"Butyltins, Sum of",Synonym
C.I. Direct Black 38,Lab,1937-37-7      ,TAX,Direct Black 38,Synonym
"C.I. Direct Blue 1, tetrasodium salt",Lab,5/1/2610,SUBST,Direct sky blue,Synonym
C.I. Direct Blue 15,Lab,2429-74-5      ,SUBST,Niagara blue 4b,Synonym
C.I. Direct Blue 6,Lab,2602-46-2      ,SUBST,Direct Blue 6,Synonym
C.I. Direct Brown 95,Lab,16071-86-6     ,SUBST,Direct Brown 95,Synonym
C1-Benzanthracenes/Chrysenes,Lab,,SUBST,,
C1-Chrysenes,Lab,,SUBST,,
C1-Dibenzothiophenes,Lab,,SUBST,,
C1-Fluoranthenes/Pyrenes,Lab,,SUBST,,
C1-Fluorenes,Lab,,SUBST,,
C1-Naphthalenes,Lab,,SUBST,,
C1-Phenanthrenes/Anthracenes,Lab,,SUBST,,
C2 -Naphthalenes,Lab,,SUBST,,
C2-Benzanthracenes/Chrysenes,Lab,,SUBST,,
C2-Chrysenes,Lab,,SUBST,,
C2-Dibenzothiophenes,Lab,,SUBST,,
C2-Fluoranthenes/Pyrenes,Lab,,SUBST,,
C2-Fluorenes,Lab,,SUBST,,
C2-Phenanthrenes/Anthracenes,Lab,,SUBST,,
C3 -Naphthalenes,Lab,,SUBST,,
C3-Benzanthracenes/Chrysenes,Lab,,SUBST,,
C3-Chrysenes,Lab,,SUBST,,
